TimeStamp,RAW-ENG,MIN-ENG,MAX-ENG,RAW-VAL,MIN-VAL,MAX-VAL,RAW-MED,MIN-MED,MAX-MED,RAW-FRU,MIN-FRU,MAX-FRU,RAW-FOC,MIN-FOC,MAX-FOC,RAW-EXC,MIN-EXC,MAX-EXC,MarkerRange,MarkerType,MarkerTitle
1445326680.1270001,-0.307891,-1.78998,0.141273,1.37574,-15.9229,20.1276,0.193004,-0.0235973,0.406847,111.29,-7167.37,12588.9,0.994776,0,1,7.80156,2.8011,17.999,0,0,0
1445326680.6470001,-0.296855,-1.79021,0.142306,0.465154,-15.9233,20.1206,0.189603,-0.0232916,0.406748,107.307,-7164.38,12570,0.990196,0,1,7.68216,2.8011,17.999,0,0,0
1445326681.1470001,-0.286923,-1.79048,0.143393,0.472061,-15.9285,20.115,0.186171,-0.0229915,0.406633,104.26,-7161.39,12551.3,0.990043,0,1,7.6633,2.8011,17.999,0,0,0
1445326681.6470001,-0.277983,-1.7908,0.14453,0.557067,-15.9372,20.1106,0.183083,-0.0226966,0.406503,102.161,-7158.4,12532.6,0.985029,0,1,7.53757,2.8011,17.999,0,0,0
1445326682.1670001,-0.25638,-1.79122,0.145796,0.697242,-15.9482,20.1071,0.179575,-0.0224079,0.406358,98.4709,-7155.41,12513.9,0.96658,0,1,7.12223,2.8011,17.999,0,0,0
1445326682.6900001,-0.224724,-1.79182,0.147264,0.774439,-15.9606,20.1041,0.176419,-0.0221248,0.406199,94.1401,-7152.43,12495.4,0.952765,0,1,6.83549,2.8011,17.999,0,0,0
1445326683.187,-0.196234,-1.79258,0.14892,0.622243,-15.9744,20.1016,0.172518,-0.0218486,0.406023,90.0188,-7149.45,12476.9,0.95638,0,1,6.93494,2.8011,17.999,0,0,0
1445326683.707,-0.170594,-1.7935,0.15075,0.330742,-15.9899,20.0998,0.167366,-0.0215817,0.405827,85.4295,-7146.49,12458.5,0.959633,0,1,7.00701,2.8011,17.999,0,0,0
1445326684.22,-0.150641,-1.79454,0.152719,0.152819,-16.0071,20.0986,0.160395,-0.0213276,0.405604,82.7285,-7143.52,12440.2,0.96572,0,1,7.11424,2.8011,17.999,0,0,0
1445326684.6789999,-0.137268,-1.79567,0.154778,0.0969139,-16.0257,20.098,0.15412,-0.0210856,0.405359,78.9024,-7140.56,12421.9,0.963829,0,1,7.03851,2.8011,17.999,0,0,0
1445326685.217,-0.129639,-1.79683,0.156884,0.0906362,-16.0452,20.0978,0.148473,-0.0208553,0.405096,75.4396,-7137.6,12403.7,0.96283,0,1,6.9836,2.8011,17.999,0,0,0
1445326685.697,-0.127029,-1.79801,0.158999,0.218641,-16.0649,20.0976,0.143784,-0.0206351,0.404818,72.7751,-7134.65,12385.6,0.941093,0,1,6.46415,2.8011,17.999,0,0,0
1445326686.237,-0.13095,-1.79915,0.161073,0.292138,-16.0846,20.0975,0.13963,-0.0204242,0.404528,69.0873,-7131.69,12367.6,0.936155,0,1,6.32979,2.8011,17.999,0,0,0
1445326686.757,-0.128209,-1.80029,0.163156,0.250321,-16.1043,20.0973,0.136291,-0.0202211,0.40423,66.1219,-7128.74,12349.6,0.927673,0,1,6.13558,2.8011,17.999,0,0,0
1445326687.2179999,-0.125796,-1.80145,0.165247,0.166337,-16.1243,20.0973,0.134153,-0.0200233,0.403926,63.414,-7125.79,12331.7,0.921426,0,1,6.00806,2.8011,17.999,0,0,0
1445326687.737,-0.123625,-1.8026,0.167344,0.0999749,-16.1445,20.0974,0.132228,-0.0198305,0.403618,61.0622,-7122.84,12313.9,0.904773,0,1,5.64907,2.8011,17.999,0,0,0
1445326688.2679999,-0.115572,-1.80381,0.16949,0.138815,-16.1649,20.0975,0.130496,-0.0196422,0.403306,59.2441,-7119.88,12296.2,0.896206,0,1,5.48858,2.8011,17.999,0,0,0
1445326688.777,-0.101849,-1.80509,0.171731,0.187578,-16.1851,20.0976,0.129743,-0.0194562,0.402994,57.5,-7116.91,12278.5,0.878258,0,1,5.1369,2.8011,17.999,0,0,0
1445326689.267,-0.0894982,-1.80646,0.174057,0.209391,-16.2051,20.0976,0.129066,-0.0192724,0.402681,55.9888,-7113.94,12260.9,0.867219,0,1,4.94579,2.8011,17.999,0,0,0
1445326689.79,-0.080677,-1.80788,0.176441,0.149639,-16.2252,20.0976,0.129102,-0.0190892,0.402369,54.5017,-7110.96,12243.3,0.859091,0,1,4.82673,2.8011,17.999,0,0,0
1445326690.2969999,-0.0822861,-1.80928,0.178798,0.112359,-16.2453,20.0977,0.129449,-0.0189059,0.402059,53.6437,-7107.97,12225.9,0.853086,0,1,4.747,2.8011,17.999,0,0,0
1445326690.8069999,-0.101523,-1.81052,0.180993,0.110736,-16.2654,20.0977,0.129762,-0.0187226,0.401751,52.6115,-7104.97,12208.5,0.832637,0,1,4.31723,2.8011,17.999,0,0,0
1445326691.2969999,-0.126541,-1.81158,0.182987,0.239693,-16.2852,20.0976,0.130044,-0.0185393,0.401444,52.9662,-7101.96,12191.1,0.830909,0,1,4.30933,2.8011,17.999,0,0,0
1445326691.8169999,-0.156632,-1.81244,0.184755,0.494215,-16.3039,20.0972,0.131487,-0.0183535,0.401143,54.0883,-7098.92,12173.9,0.822559,0,1,4.15799,2.8011,17.999,0,0,0
1445326692.3570001,-0.186485,-1.8131,0.186309,0.583857,-16.3217,20.0963,0.134768,-0.0181615,0.400851,55.7112,-7095.86,12156.7,0.823103,0,1,4.22967,2.73424,17.4942,0,0,0
1445326692.862,-0.211718,-1.81362,0.18769,0.465628,-16.3391,20.0953,0.138976,-0.0179614,0.400572,59.7233,-7092.77,12139.5,0.810459,0,1,4.0186,2.73424,17.4942,0,0,0
1445326693.3269999,-0.22913,-1.81403,0.188955,0.265826,-16.3568,20.0944,0.144383,-0.0177515,0.400311,62.6796,-7089.64,12122.5,0.812561,0,1,4.16843,2.73424,17.4942,0,0,0
1445326693.8469999,-0.246449,-1.81436,0.190109,0.182999,-16.3748,20.0937,0.151003,-0.0175299,0.400071,66.0637,-7086.48,12105.5,0.799302,0,1,3.98222,2.73424,17.4942,0,0,0
1445326694.3670001,-0.262617,-1.8146,0.191161,0.358153,-16.3925,20.0929,0.156583,-0.0172992,0.39985,67.3523,-7083.31,12088.5,0.798486,0,1,4.07012,2.73424,17.4942,0,0,0
1445326694.859,-0.277167,-1.81476,0.192126,0.485053,-16.4097,20.0918,0.160814,-0.0170623,0.399645,64.9576,-7080.13,12071.6,0.79454,0,1,4.07285,2.73424,17.4942,0,0,0
1445326695.368,-0.281615,-1.81491,0.193061,0.467429,-16.4266,20.0906,0.164621,-0.0168201,0.399454,63.0827,-7076.95,12054.8,0.7841,0,1,3.93747,2.73424,17.4942,0,0,0
1445326695.8770001,-0.285618,-1.81503,0.193969,0.323803,-16.4435,20.0895,0.168048,-0.0165735,0.399277,60.6135,-7073.77,12038.1,0.783462,0,1,4.02219,2.73424,17.4942,0,0,0
1445326696.4100001,-0.283617,-1.81516,0.194885,0.202192,-16.4609,20.0885,0.167441,-0.0163287,0.399098,58.1396,-7070.6,12021.4,0.780052,0,1,4.00554,2.73424,17.4942,0,0,0
1445326696.9070001,-0.278591,-1.81531,0.195824,0.053855,-16.4788,20.0878,0.164129,-0.01609,0.398906,55.9348,-7067.43,12004.8,0.782937,0,1,4.10515,2.73424,17.4942,0,0,0
1445326697.4119999,-0.269469,-1.81549,0.19681,-0.0431029,-16.4974,20.0873,0.160497,-0.015858,0.398703,53.1158,-7064.26,11988.3,0.777553,0,1,4.01812,2.73424,17.4942,0,0,0
1445326697.9170001,-0.255947,-1.81574,0.197869,-0.174643,-16.5169,20.0872,0.155916,-0.0156344,0.398484,50.7445,-7061.09,11971.8,0.770956,0,1,3.90008,2.73424,17.4942,0,0,0
1445326698.46,-0.236915,-1.81608,0.199035,-0.299375,-16.5372,20.0874,0.150297,-0.0154216,0.398247,48.6785,-7057.93,11955.3,0.759993,0,1,3.6806,2.73424,17.4942,0,0,0
1445326698.944,-0.219836,-1.81649,0.200299,-0.40529,-16.5584,20.088,0.144823,-0.0152196,0.397994,46.7599,-7054.76,11939,0.750837,0,1,3.50405,2.73424,17.4942,0,0,0
1445326699.438,-0.204465,-1.81699,0.201652,-0.46462,-16.5803,20.0889,0.139595,-0.0150284,0.397727,45.5172,-7051.59,11922.7,0.754733,0,1,3.62576,2.73424,17.4942,0,0,0
1445326699.938,-0.190631,-1.81756,0.203087,-0.437528,-16.6027,20.0899,0.13489,-0.0148473,0.397447,45.7976,-7048.41,11906.4,0.757311,0,1,3.71955,2.73424,17.4942,0,0,0
1445326700.5539999,-0.181046,-1.81817,0.204577,-0.351586,-16.6251,20.091,0.130957,-0.014675,0.397159,45.9998,-7045.21,11890.3,0.75914,0,1,3.79779,2.73424,17.4942,0,0,0
1445326700.9530001,-0.176991,-1.8188,0.206086,-0.176191,-16.6469,20.0918,0.127942,-0.0145097,0.396864,47.1831,-7042,11874.1,0.75991,0,1,3.85362,2.73424,17.4942,0,0,0
1445326701.4979999,-0.179044,-1.81941,0.207575,0.0789105,-16.6676,20.0923,0.126843,-0.0143473,0.396567,48.8972,-7038.77,11858.1,0.756124,0,1,3.8187,2.73424,17.4942,0,0,0
